Sub_Division,YEAR,JUN,JUL,AUG,SEP,JUN-SEP,AVG_RAINFALL,YOY_CHANGE,LAG_1,LAG_2
ARUNACHAL PRADESH,2012,615.8,623.0,331.5,623.3,2193.6,548.4,819.3,1374.3,1575.1
ARUNACHAL PRADESH,2013,289.6,336.1,239.7,278.3,1143.6,285.925,-1050.0,2193.6,1374.3
ARUNACHAL PRADESH,2014,406.0,348.0,552.0,326.3,1632.3,408.075,488.70000000000005,1143.6,2193.6
ARUNACHAL PRADESH,2015,570.9,300.2,537.7,342.1,1750.8,437.725,118.5,1632.3,1143.6
ARUNACHAL PRADESH,2016,372.8,614.2,146.1,534.8,1667.8,416.97499999999997,-83.0,1750.8,1632.3
ARUNACHAL PRADESH,2017,366.0,442.2,456.6,319.2,1584.0,396.00000000000006,-83.79999999999995,1667.8,1750.8
ARUNACHAL PRADESH,2018,327.9,331.9,262.1,287.0,1209.0,302.225,-375.0,1584.0,1667.8
ARUNACHAL PRADESH,2019,300.0,683.5,155.0,355.1,1493.6,373.4,284.5999999999999,1209.0,1584.0
ARUNACHAL PRADESH,2020,479.8,583.8,291.6,475.1,1830.3,457.57499999999993,336.70000000000005,1493.6,1209.0
ARUNACHAL PRADESH,2021,346.4,255.8,458.7,137.5,1198.4,299.6,-631.8999999999999,1830.3,1493.6
ASSAM & MEGHALAYA,1901,527.9,431.7,464.9,293.1,1717.6,429.4,,,
ASSAM & MEGHALAYA,1902,622.1,514.7,538.3,443.1,2118.1,529.5500000000001,400.5,1717.6,
ASSAM & MEGHALAYA,1903,613.0,360.3,553.3,306.7,1833.2,458.325,-284.89999999999986,2118.1,1717.6
ASSAM & MEGHALAYA,1904,383.5,477.6,438.8,247.0,1546.9,386.725,-286.29999999999995,1833.2,2118.1
ASSAM & MEGHALAYA,1905,522.6,441.4,649.8,276.6,1890.4,472.6,343.5,1546.9,1833.2
ASSAM & MEGHALAYA,1906,389.5,542.8,588.1,264.6,1785.1,446.25,-105.30000000000018,1890.4,1546.9
ASSAM & MEGHALAYA,1907,514.6,579.9,303.8,401.6,1799.9,449.975,14.800000000000182,1785.1,1890.4
ASSAM & MEGHALAYA,1908,392.6,479.9,339.8,405.9,1618.3,404.54999999999995,-181.60000000000014,1799.9,1785.1
ASSAM & MEGHALAYA,1909,644.8,346.2,447.6,216.5,1655.1,413.775,36.799999999999955,1618.3,1799.9
ASSAM & MEGHALAYA,1910,584.2,740.0,419.9,247.8,1991.8,497.97499999999997,336.70000000000005,1655.1,1618.3
